Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate
160000,1.4004503,5.0,0.4606836757551626,175.5084745762712,0.052010883,0.5669151073152369,0.062571496,0.06423415,0.00029536174
170000,1.4133548,5.0,0.6587222692595485,158.73333333333332,0.045841843,0.5797354096458072,0.06887718,0.058896113,0.0002950383
180000,1.4855456,6.0,0.9833475722326956,156.68085106382978,0.04396956,1.118575737557628,0.06895509,0.07032585,0.00029473795
190000,1.6644281,6.0,-0.37767453816541957,241.16666666666666,-0.00202248,-0.36249602131727265,0.045149542,0.07237768,0.000294443
200000,1.7173634,6.0,-0.6642339778915444,243.82978723404256,-0.01567778,-0.6843800806999206,0.045514688,0.06367672,0.00029416298
210000,1.7252192,6.0,-0.6080082787608262,243.75,-0.018400112,-0.6266746918360392,0.031909492,0.07436467,0.00029388463
220000,1.7983253,6.0,-0.7224877368397556,239.6829268292683,-0.026792608,-0.7224878814162278,0.018134754,0.067518234,0.0002935612
230000,1.8672582,6.0,-0.6857171133160591,245.24242424242425,-0.018882355,-0.6758959256112576,0.020734569,0.07365759,0.00029325372
240000,1.7910641,6.0,0.8211728777969256,209.35185185185185,0.015150893,0.719438189709628,0.094163075,0.070689216,0.00029294746
250000,1.6569566,7.0,1.3170387573366942,191.95348837209303,0.07815072,1.3892347562042149,0.13652448,0.06439393,0.00029265258
260000,1.4746817,7.0,0.2768333799110472,212.88636363636363,0.025958993,0.2768332382494753,0.106527165,0.06805845,0.0002923498
270000,1.3386097,7.0,0.9855902743486998,194.29166666666666,0.056102693,0.9855901915580034,0.0940156,0.07382782,0.00029204984
280000,1.4423501,8.0,0.15549281433366402,187.58695652173913,0.108198285,0.18114070230060153,0.072052374,0.06611723,0.00029174573
290000,1.5146657,8.0,-0.38785326917655766,205.2,-0.0045960946,-0.3998301239574657,0.01270481,0.065517075,0.0002914475
300000,1.5229563,8.0,-0.21814808034751978,197.24444444444444,0.00621112,-0.2181481937567393,0.018754466,0.06516557,0.00029115696
310000,1.4887534,8.0,-0.555916601192439,224.725,-0.011320758,-0.5559167385101318,0.011637553,0.069059454,0.00029083635
320000,1.5419732,8.0,-0.5368295594377236,221.35555555555555,-0.021669714,-0.5263636965643276,0.008620726,0.066652045,0.000290552
330000,1.6208599,8.0,-0.588045387645252,224.8181818181818,-0.014742142,-0.5879849100654776,0.012473628,0.064969644,0.0002902688
